ID	acnu_18S	acnu_28S	taxo
HQ651784	HQ651784	HQ651784	Spumellaria_Hexalonchidae_Hexacontium_sp_A
AB284519	AB284519	NA	Spumellaria_Hexalonchidae_Hexacontium_pachydermum
Vil282	MT670526	NA	Spumellaria_Hexastyliidae
HQ651798	HQ651798	NA	Spumellaria_Hexastyliidae_Hexastylus_nobilis_Cleve
HQ651795	HQ651795	NA	Spumellaria_Hexastyliidae_Hexastylus_nobilis_Cleve
Vil174	MT670512	MT670460	Spumellaria_Hollandosphaeridae_Hollandosphaera_hexagonia
Vil217	MT670517	MT670463	Spumellaria_Hollandosphaeridae_Hollandosphaera_hexagonia
Vil454	MT670540	NA	Spumellaria_Hollandosphaeridae_Hollandosphaera_hexagonia
Vil448	MT670535	NA	Spumellaria_Hollandosphaeridae_Hollandosphaera_hexagonia
Vil209	MT670515	NA	Spumellaria_Hollandosphaeridae_Hollandosphaera_hexagonia
Mge17-82	MT670490	MT670451	Spumellaria_Spongosphaeroidea_Spongosphaera_streptacantha
Osh69	MT670499	NA	Spumellaria_Spongosphaeroidea_Spongosphaera_streptacantha
Osh188	MT670496	NA	Spumellaria_Spongosphaeroidea_Spongosphaera_streptacantha
Oki25	MT670492	NA	Spumellaria_Spongosphaeroidea_Spongosphaera_streptacantha
Vil186	MT670513	MT670461	Spumellaria_Lithocyclioidea_Cypassis_sp
AB439010	AB439010	NA	Spumellaria_Lithocyclioidea_Cypassis_irregularis
Vil450	MT670537	NA	Spumellaria_Lithocyclioidea_Cypassis_oblongus
Ses64	MT670509	NA	Spumellaria_Lithocyclioidea_Didymocyrtis_tetrathalamus
Vil458	MT670541	NA	Spumellaria_Lithocyclioidea_Cypassis_irregularis
LC093106	LC093106	NA	Spumellaria_Lithocyclioidea_Didymocyrtis_tetrathalamus_coronatus
AB193605	AB193605	NA	Spumellaria_Lithocyclioidea_Didymocyrtis_tetrathalamus
Ses19	MT670505	NA	Spumellaria_Lithocyclioidea_Didymocyrtis_tetrathalamus
Ses63	MT670508	NA	Spumellaria_Lithocyclioidea_Didymocyrtis_tetrathalamus_coronatus
Osh48	MT670498	NA	Spumellaria_Sponodscoidea_Unidentified
AB246695	AB246695	NA	Spumellaria_Sponodscoidea_Spongodiscus_biconcavus
Osh79	MT670500	MT670453	Spumellaria_Sponodscoidea_Unidentified
Osh174	MT670495	MT670452	Spumellaria_Sponodscoidea_Unidentified
AB430760	AB430760	AB430760	Spumellaria_Sponodscoidea_Unidentified
Vil449	MT670536	NA	Spumellaria_Sponodscoidea_Spongosteriscus_toxon
Mge17-17	MT670485	MT670447	Spumellaria_Sponodscoidea_Spongocyclia_elliptica
Mge17-74	MT670488	MT670449	Spumellaria_Sponodscoidea_Dicytocoryne_gegenbauri
Vil246	MT670524	NA	Spumellaria_Sponodscoidea_Dicytocoryne_koellikeri
Vil293	MT670527	MT670469	Spumellaria_Sponodscoidea_Dicytocoryne_koellikeri
